[16:56:43] TDL Track 1 | C2: 34.0646,-118.0550 | Bearing: -40.1°
[16:56:46] TDL Track 2 | C2: 34.0640,-118.0541 | Bearing: -40.1°
[16:56:48] TDL Track 3 | C2: 34.0636,-118.0537 | Bearing: -40.1°
[16:56:50] TDL Track 4 | C2: 34.0633,-118.0534 | Bearing: -40.1°
[17:59:04] TDL Track 1 | C2: 34.0653,-118.0557 | Bearing: -40.1°
[17:59:06] TDL Track 2 | C2: 34.0648,-118.0550 | Bearing: -40.1°
[15:13:36] TDL Track 1 | C2: 34.0654,-118.0295 | Bearing: -23.9°
[15:13:38] TDL Track 2 | C2: 34.0651,-118.0293 | Bearing: -23.9°
[15:13:40] TDL Track 3 | C2: 34.0650,-118.0293 | Bearing: -23.9°
[15:13:54] TDL Track 1 | C2: 34.0674,-118.0300 | Bearing: -23.8°
[15:13:56] TDL Track 2 | C2: 34.0677,-118.0301 | Bearing: -23.8°
[15:13:58] TDL Track 3 | C2: 34.0682,-118.0303 | Bearing: -23.8°
[15:14:00] TDL Track 4 | C2: 34.0688,-118.0305 | Bearing: -23.8°
[15:14:03] TDL Track 5 | C2: 34.0693,-118.0307 | Bearing: -23.8°
[15:14:05] TDL Track 6 | C2: 34.0697,-118.0309 | Bearing: -23.8°
[15:14:07] TDL Track 7 | C2: 34.0701,-118.0310 | Bearing: -23.8°
[15:14:09] TDL Track 8 | C2: 34.0704,-118.0312 | Bearing: -23.8°
[15:14:11] TDL Track 9 | C2: 34.0707,-118.0313 | Bearing: -23.8°
[15:14:13] TDL Track 10 | C2: 34.0710,-118.0314 | Bearing: -23.8°
[15:14:15] TDL Track 11 | C2: 34.0713,-118.0315 | Bearing: -23.8°
[15:14:18] TDL Track 12 | C2: 34.0715,-118.0316 | Bearing: -23.8°
[15:14:20] TDL Track 13 | C2: 34.0717,-118.0317 | Bearing: -23.8°
[15:14:22] TDL Track 14 | C2: 34.0718,-118.0318 | Bearing: -23.8°
[15:14:24] TDL Track 15 | C2: 34.0720,-118.0318 | Bearing: -23.8°
[17:06:00] TDL Track 1 | C2: 35.0673,-120.0001 | Bearing: 0.0°
[17:06:02] TDL Track 2 | C2: 35.0675,-120.0001 | Bearing: 0.0°
[17:06:04] TDL Track 3 | C2: 35.0677,-120.0000 | Bearing: 0.0°
[20:00:32] TDL Track 1 | C2: 34.0679,-118.0053 | Bearing: -4.7
[20:00:34] TDL Track 2 | C2: 34.0693,-118.0014 | Bearing: 2.5
[20:00:36] TDL Track 3 | C2: 34.0692,-118.0023 | Bearing: -3.5
[20:00:38] TDL Track 4 | C2: 34.0701,-118.0010 | Bearing: 2.7
[20:00:40] TDL Track 5 | C2: 34.0702,-118.0004 | Bearing: 1.4
[20:00:42] TDL Track 6 | C2: 34.0700,-118.0001 | Bearing: 1.2
[20:00:44] TDL Track 7 | C2: 34.0707,-118.0007 | Bearing: -3.5
[20:53:53] TDL Track 1 | C2: 34.0664,-118.0009 | Bearing: -0.8
[20:53:55] TDL Track 2 | C2: 34.0663,-118.0013 | Bearing: -1.7
[20:53:57] TDL Track 3 | C2: 34.0616,-118.0042 | Bearing: -9.4
[20:53:59] TDL Track 4 | C2: 34.0650,-118.0021 | Bearing: 3.6
